start,end,roi,win_rate,trades
2023-03-01,2023-04-30,21.848241253448442,0.5,10
2023-04-30,2023-06-29,-3.6363859993163374,0.4,10
2023-06-29,2023-08-28,16.950876549785313,0.5,8
2023-08-28,2023-10-27,48.10222995288443,0.625,8
2023-10-27,2023-12-26,19.61228987518291,0.4666666666666667,15
2023-12-26,2024-02-24,51.018467746083616,0.5333333333333333,15
2024-02-24,2024-04-24,-3.6363859993163596,0.4,10
2024-04-24,2024-06-23,-9.070298379786902,0.38461538461538464,13
2024-06-23,2024-08-22,-1.9822771245868014,0.4,5
2024-08-22,2024-10-21,42.149656275629695,0.6666666666666666,6
2024-10-21,2024-12-20,141.8211942849256,0.6666666666666666,15
2024-12-20,2025-02-18,19.432871440370015,0.4666666666666667,15
2025-02-18,2025-04-19,12.418976808883327,0.5,6
2025-04-19,2025-06-18,26.76025903408201,0.5,12
2025-06-18,2025-08-17,0.24828053758427587,0.4166666666666667,12
2025-08-17,2025-10-16,12.867392337357206,0.4444444444444444,18
2025-10-16,2025-12-15,45.384510092664414,0.5384615384615384,13
2025-12-15,2026-02-13,193.92511336271428,0.7692307692307693,13
2026-02-13,2026-04-14,-25.3746293874884,0.0,3
