,entry_time,entry_price,side,margin,tp_price,sl_price,exit_time,exit_price,pnl,pnl_pct,reason
0,2023-03-09 10:00:00,0.05234,SHORT,100.0,0.049722999999999996,0.0539102,2023-03-09 14:00:00,0.0539102,-91.45500000000008,-0.9145500000000009,SL
1,2023-03-13 00:00:00,0.05382,LONG,90.7045,0.056511,0.0522054,2023-03-13 01:00:00,0.056511,134.6281541250001,1.4842500000000012,TP
2,2023-03-17 04:00:00,0.05943,LONG,104.03125866250001,0.0624015,0.05764709999999999,2023-03-17 10:00:00,0.0624015,154.40839566981577,1.4842500000000014,TP
3,2023-03-21 05:00:00,0.05842,SHORT,119.31605134148784,0.055499,0.0601726,2023-03-21 12:00:00,0.0601726,-109.12049475435781,-0.9145500000000009,SL
4,2023-03-29 08:00:00,0.05798,LONG,108.22502778903981,0.060879,0.056240599999999995,2023-03-30 17:00:00,0.056240599999999995,-98.97719916446644,-0.9145500000000008,SL
5,2023-04-07 02:00:00,0.06033,LONG,98.16497033090961,0.0633465,0.0585201,2023-04-07 07:00:00,0.0585201,-89.77677361613347,-0.9145500000000009,SL
6,2023-04-07 09:00:00,0.05829,SHORT,89.0400455137999,0.0553755,0.0600387,2023-04-09 21:00:00,0.0600387,-81.43157362464578,-0.914550000000001,SL
7,2023-04-10 12:00:00,0.05996,LONG,80.76332808306461,0.062958,0.058161199999999996,2023-04-13 08:00:00,0.062958,119.87296970728876,1.4842500000000014,TP
8,2023-04-20 05:00:00,0.06986,SHORT,92.6294800616689,0.066367,0.07195580000000001,2023-04-20 16:00:00,0.066367,137.4853057815325,1.4842500000000047,TP
9,2023-04-20 17:00:00,0.06725,SHORT,106.23906641972965,0.0638875,0.06926750000000001,2023-04-21 17:00:00,0.0638875,157.6853343334839,1.4842500000000014,TP
10,2023-04-30 22:00:00,0.06091,SHORT,121.84824125344845,0.0578645,0.0627373,2023-05-01 19:00:00,0.0578645,180.85325208043102,1.4842500000000014,TP
11,2023-05-04 00:00:00,0.06205,LONG,139.7507940996114,0.0651525,0.0601885,2023-05-04 11:00:00,0.0601885,-127.8090887437997,-0.9145500000000008,SL
12,2023-05-17 14:00:00,0.0527,SHORT,126.760259034082,0.05006499999999999,0.054280999999999996,2023-05-17 19:00:00,0.054280999999999996,-115.92859489961978,-0.9145500000000008,SL
13,2023-05-17 20:00:00,0.05487,LONG,114.9772591555689,0.057613500000000005,0.0532239,2023-05-18 15:00:00,0.0532239,-105.15245236072563,-0.9145500000000009,SL
14,2023-05-18 20:00:00,0.0531,SHORT,104.28954803076297,0.050445,0.054693000000000006,2023-05-24 13:00:00,0.050445,154.79176166466007,1.4842500000000012,TP
15,2023-05-28 00:00:00,0.05182,LONG,119.61228987518282,0.054411,0.050265399999999995,2023-05-31 01:00:00,0.054411,177.53454124724027,1.4842500000000014,TP
16,2023-05-31 13:00:00,0.05161,SHORT,137.18632556509405,0.049029500000000004,0.053158300000000006,2023-06-01 18:00:00,0.053158300000000006,-125.46375404555687,-0.9145500000000008,SL
17,2023-06-05 18:00:00,0.05187,SHORT,124.43417067219073,0.049276499999999994,0.053426100000000004,2023-06-06 09:00:00,0.053426100000000004,-113.80127078825214,-0.9145500000000009,SL
