,entry_time,entry_price,side,margin,tp_price,sl_price,exit_time,exit_price,pnl,reason
0,2023-03-15 17:00:00,0.05722,SHORT,100.0,0.045776000000000004,0.0577922,2023-03-15 18:00:00,0.0577922,-31.485000000000028,TP/SL
1,2023-03-17 11:00:00,0.0625,LONG,96.70150000000001,0.075,0.061875,2023-03-17 12:00:00,0.061875,-30.44646727500003,TP/SL
2,2023-03-21 03:00:00,0.05827,SHORT,93.5118010225,0.046616000000000005,0.0588527,2023-03-21 04:00:00,0.0588527,-29.442190551934146,TP/SL
3,2023-04-03 02:00:00,0.0572,SHORT,90.42731426577284,0.04576,0.057772000000000004,2023-04-03 03:00:00,0.057772000000000004,-28.471039896578603,TP/SL
4,2023-04-05 04:00:00,0.06109,LONG,87.44456930471631,0.073308,0.0604791,2023-04-05 15:00:00,0.0604791,-27.53192264558995,TP/SL
5,2023-04-07 08:00:00,0.05847,SHORT,84.56021018620024,0.046776000000000005,0.0590547,2023-04-07 14:00:00,0.0590547,-26.623782177125168,TP/SL
6,2023-04-10 01:00:00,0.06026,LONG,81.77099165320843,0.072312,0.0596574,2023-04-10 02:00:00,0.0596574,-25.745596722012692,TP/SL
7,2023-04-12 03:00:00,0.05923,SHORT,79.07377549352735,0.047384,0.0598223,2023-04-12 06:00:00,0.0598223,-24.896378214137105,TP/SL
8,2023-04-13 09:00:00,0.06286,LONG,76.46552700887334,0.075432,0.0622314,2023-04-15 11:00:00,0.075432,457.41678256708025,TP/SL
9,2023-04-23 19:00:00,0.06037,SHORT,122.09250697506805,0.048296000000000006,0.0609737,2023-04-23 20:00:00,0.0609737,-38.440825821100205,TP/SL
10,2023-04-26 20:00:00,0.05872,SHORT,118.06528563249543,0.046976000000000004,0.059307200000000004,2023-04-26 21:00:00,0.059307200000000004,-37.17285518139121,TP/SL
11,2023-05-03 22:00:00,0.06189,LONG,114.17090218590756,0.074268,0.0612711,2023-05-04 03:00:00,0.0612711,-35.94670855323303,TP/SL
12,2023-05-06 07:00:00,0.05822,SHORT,110.4049749773054,0.046576000000000006,0.0588022,2023-05-06 11:00:00,0.0588022,-34.76100637160464,TP/SL
13,2023-05-12 03:00:00,0.05043,SHORT,106.76326687767897,0.040344000000000005,0.0509343,2023-05-12 04:00:00,0.0509343,-33.614414576437255,TP/SL
14,2023-05-15 07:00:00,0.05422,LONG,103.24168051971873,0.065064,0.0536778,2023-05-15 11:00:00,0.0536778,-32.50564311163347,TP/SL
15,2023-05-20 03:00:00,0.05208,SHORT,99.8362536877758,0.04166400000000001,0.0526008,2023-05-20 09:00:00,0.0526008,-31.43344447359624,TP/SL
16,2023-05-28 11:00:00,0.05239,LONG,96.54315485988451,0.062868,0.0518661,2023-05-29 16:00:00,0.0518661,-30.396612307634665,TP/SL
17,2023-05-31 16:00:00,0.05133,SHORT,93.35867889683121,0.041064,0.0518433,2023-05-31 17:00:00,0.0518433,-29.39398005066733,TP/SL
18,2023-06-02 05:00:00,0.05382,LONG,90.27924287341922,0.064584,0.0532818,2023-06-02 13:00:00,0.0532818,-28.424419618696064,TP/SL
19,2023-06-05 16:00:00,0.05093,SHORT,87.30138204723949,0.040744,0.0514393,2023-06-05 17:00:00,0.0514393,-27.486840137573374,TP/SL
20,2023-06-14 21:00:00,0.04351,SHORT,84.42174596041127,0.034808,0.0439451,2023-06-14 22:00:00,0.0439451,-26.58018671563551,TP/SL
21,2023-06-17 06:00:00,0.0468,LONG,81.63709466990711,0.05616,0.046332,2023-06-17 07:00:00,0.046332,-25.70343925682055,TP/SL
22,2023-06-26 22:00:00,0.0483,SHORT,78.9442951022202,0.03864000000000001,0.048783,2023-06-26 23:00:00,0.048783,-24.855611312934048,TP/SL
23,2023-07-23 06:00:00,0.05219,LONG,76.34031752827346,0.062628,0.0516681,2023-07-24 09:00:00,0.0516681,-24.03574897377692,TP/SL
24,2023-07-24 10:00:00,0.04996,SHORT,73.82223215460336,0.039968000000000004,0.0504596,2023-07-24 11:00:00,0.0504596,-23.242929793876883,TP/SL
25,2023-08-09 13:00:00,0.04764,LONG,71.38720582698376,0.057168,0.0471636,2023-08-09 14:00:00,0.0471636,-22.476261754625856,TP/SL
26,2023-08-15 20:00:00,0.04561,SHORT,69.0324988427807,0.036488,0.0460661,2023-08-15 22:00:00,0.0460661,-21.73488226064952,TP/SL
27,2023-08-24 21:00:00,0.03969,SHORT,66.75546186845158,0.031752,0.0400869,2023-08-24 23:00:00,0.0400869,-21.017957169282,TP/SL
28,2023-08-29 15:00:00,0.042,LONG,64.55353295872071,0.0504,0.04158,2023-08-30 14:00:00,0.04158,-20.324679852053446,TP/SL
29,2023-08-31 17:00:00,0.03946,SHORT,62.424234674077276,0.031568000000000006,0.039854600000000004,2023-08-31 18:00:00,0.039854600000000004,-19.654270287133244,TP/SL
30,2023-09-10 05:00:00,0.03894,SHORT,60.36517129335283,0.031152000000000003,0.0393294,2023-09-13 15:00:00,0.0393294,-19.005974181712155,TP/SL
31,2023-09-13 22:00:00,0.0393,LONG,58.37402611824158,0.04716,0.038907000000000004,2023-09-14 05:00:00,0.038907000000000004,-18.379062123328183,TP/SL
32,2023-09-18 03:00:00,0.04112,LONG,56.4485588667314,0.04934399999999999,0.040708799999999996,2023-09-23 23:00:00,0.04189,30.848547126886672,Opposite Signal
33,2023-09-23 23:00:00,0.04189,SHORT,59.44874074111997,0.033512,0.042308899999999997,2023-09-30 00:00:00,0.042308899999999997,-18.717436022341637,TP/SL
34,2023-09-30 01:00:00,0.04239,LONG,57.48782402777413,0.050868,0.0419661,2023-09-30 07:00:00,0.0419661,-18.100041395144512,TP/SL
35,2023-10-02 19:00:00,0.04153,SHORT,55.591588152218016,0.033224,0.0419453,2023-10-02 20:00:00,0.0419453,-17.503011529725857,TP/SL
36,2023-10-16 02:00:00,0.04097,LONG,53.7578996170171,0.049164,0.0405603,2023-10-17 13:00:00,0.0405603,-16.92567469441785,TP/SL
37,2023-10-17 15:00:00,0.04051,SHORT,51.984695298149795,0.032408,0.040915099999999996,2023-10-20 07:00:00,0.040915099999999996,-16.367381314622477,TP/SL
38,2023-11-01 19:00:00,0.05374,LONG,50.26998012374032,0.064488,0.0532026,2023-11-03 21:00:00,0.064488,300.7150211002145,TP/SL
39,2023-11-09 06:00:00,0.06951,LONG,80.26607726357616,0.083412,0.0688149,2023-11-09 16:00:00,0.0688149,-25.271774426436977,TP/SL
40,2023-11-24 08:00:00,0.07312,LONG,77.61850070503709,0.087744,0.0723888,2023-11-29 02:00:00,0.087744,464.31387121753176,TP/SL
41,2023-12-04 16:00:00,0.08128,SHORT,123.93346007573274,0.06502400000000001,0.08209280000000001,2023-12-04 17:00:00,0.08209280000000001,-39.02044990484449,TP/SL
42,2023-12-08 15:00:00,0.08557,LONG,119.84551489513467,0.10268399999999998,0.08471429999999999,2023-12-08 17:00:00,0.08471429999999999,-37.73336036473318,TP/SL
